Name: CCTV-6, URL: http://220.178.185.174:4000/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 111fps
Name: CCTV-6, URL: http://www.lwfz.fun:8800/rtp/239.16.10.101:2000, Date: None, Resolution: 1920x1080, Response Time: 111fps
Name: CCTV-6, URL: http://60.169.119.150:58888/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 106fps
Name: CCTV-6, URL: http://42.236.161.90:8888/rtp/225.1.4.160:1196, Date: None, Resolution: 1920x1080, Response Time: 58fps
Name: CCTV-6, URL: http://125.46.142.181:2000/rtp/225.1.4.160:1196, Date: None, Resolution: 1920x1080, Response Time: 54fps
Name: CCTV-6, URL: http://222.141.134.39:888/rtp/225.1.4.160:1196, Date: None, Resolution: 1920x1080, Response Time: 28fps
Name: CCTV-6, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.160:1196, Date: None, Resolution: 1920x1080, Response Time: 28fps
Name: CCTV-6, URL: http://183.164.33.215:4022/rtp/238.1.78.172:7248, Date: None, Resolution: 1920x1080, Response Time: 17fps
Name: CCTV-7, URL: http://114.98.189.106:2000/rtp/238.1.78.239:7784, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-7, URL: http://114.97.197.83:4022/rtp/238.1.78.239:7784, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-7, URL: http://114.98.189.95:2000/rtp/238.1.78.239:7784, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-7, URL: http://220.178.185.174:4000/rtp/238.1.78.239:7784, Date: None, Resolution: 1920x1080, Response Time: 120fps
Name: CCTV-7, URL: http://60.169.119.150:58888/rtp/238.1.78.239:7784, Date: None, Resolution: 1920x1080, Response Time: 114fps
Name: CCTV-7, URL: http://www.lwfz.fun:8800/rtp/239.16.10.130:2000, Date: None, Resolution: 1920x1080, Response Time: 114fps
Name: CCTV-7, URL: http://222.141.134.39:888/rtp/225.1.4.76:1105, Date: None, Resolution: 1920x1080, Response Time: 88fps
Name: CCTV-7, URL: http://42.236.161.90:8888/rtp/225.1.4.76:1105, Date: None, Resolution: 1920x1080, Response Time: 80fps
Name: CCTV-7, URL: http://125.46.142.181:2000/rtp/225.1.4.76:1105, Date: None, Resolution: 1920x1080, Response Time: 74fps
Name: CCTV-7, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.76:1105, Date: None, Resolution: 1920x1080, Response Time: 50fps
Name: CCTV-7, URL: http://222.141.134.39:888/rtp/225.1.4.7:1036, Date: None, Resolution: 720x576, Response Time: 227fps
Name: CCTV-7, URL: http://125.46.142.120:2000/rtp/225.1.4.7:1036, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-7, URL: http://115.60.241.249:2000/rtp/225.1.4.7:1036, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-7, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.7:1036, Date: None, Resolution: 720x576, Response Time: 86fps
Name: CCTV-8, URL: http://114.98.189.106:2000/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-8, URL: http://114.97.197.83:4022/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-8, URL: http://114.98.189.95:2000/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-8, URL: http://220.178.185.174:4000/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-8, URL: http://60.169.119.150:58888/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 117fps
Name: CCTV-8, URL: http://www.lwfz.fun:8800/rtp/239.16.10.102:2000, Date: None, Resolution: 1920x1080, Response Time: 100fps
Name: CCTV-8, URL: http://125.46.142.181:2000/rtp/225.1.4.161:1197, Date: None, Resolution: 1920x1080, Response Time: 72fps
Name: CCTV-8, URL: http://183.164.33.215:4022/rtp/238.1.78.173:7256, Date: None, Resolution: 1920x1080, Response Time: 68fps
Name: CCTV-8, URL: http://42.236.161.90:8888/rtp/225.1.4.161:1197, Date: None, Resolution: 1920x1080, Response Time: 33fps
Name: CCTV-8, URL: http://222.141.134.39:888/rtp/225.1.4.161:1197, Date: None, Resolution: 1920x1080, Response Time: 29fps
Name: CCTV-8, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.161:1197, Date: None, Resolution: 1920x1080, Response Time: 14fps
Name: CCTV-9, URL: http://114.98.189.106:2000/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-9, URL: http://60.169.119.150:58888/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-9, URL: http://114.97.197.83:4022/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-9, URL: http://114.98.189.95:2000/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-9, URL: http://220.178.185.174:4000/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-9, URL: http://www.lwfz.fun:8800/rtp/239.16.10.103:2000, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-9, URL: http://222.141.134.39:888/rtp/225.1.4.77:1106, Date: None, Resolution: 1920x1080, Response Time: 94fps
Name: CCTV-9, URL: http://125.46.142.181:2000/rtp/225.1.4.77:1106, Date: None, Resolution: 1920x1080, Response Time: 81fps
Name: CCTV-9, URL: http://42.236.161.90:8888/rtp/225.1.4.77:1106, Date: None, Resolution: 1920x1080, Response Time: 68fps
Name: CCTV-9, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.77:1106, Date: None, Resolution: 1920x1080, Response Time: 30fps
Name: CCTV-9, URL: http://183.164.33.215:4022/rtp/238.1.78.240:7792, Date: None, Resolution: 1920x1080, Response Time: 14fps
Name: CCTV-9, URL: http://222.141.134.39:888/rtp/225.1.4.9:1038, Date: None, Resolution: 720x576, Response Time: 234fps
Name: CCTV-9, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.9:1038, Date: None, Resolution: 720x576, Response Time: 170fps
Name: CCTV-9, URL: http://125.46.142.120:2000/rtp/225.1.4.9:1038, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-9, URL: http://115.60.241.249:2000/rtp/225.1.4.9:1038, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-10, URL: http://220.178.185.174:4000/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 124fps
Name: CCTV-10, URL: http://114.98.189.106:2000/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 114fps
Name: CCTV-10, URL: http://114.98.189.95:2000/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 114fps
Name: CCTV-10, URL: http://114.97.197.83:4022/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-10, URL: http://www.lwfz.fun:8800/rtp/239.16.10.108:2000, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-10, URL: http://60.169.119.150:58888/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 103fps
Name: CCTV-10, URL: http://183.164.33.215:4022/rtp/238.1.78.241:7800, Date: None, Resolution: 1920x1080, Response Time: 19fps
Name: CCTV-10, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.10:1039, Date: None, Resolution: 720x576, Response Time: 234fps
Name: CCTV-10, URL: http://222.141.134.39:888/rtp/225.1.4.10:1039, Date: None, Resolution: 720x576, Response Time: 230fps
Name: CCTV-10, URL: http://125.46.142.120:2000/rtp/225.1.4.10:1039, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-10, URL: http://115.60.241.249:2000/rtp/225.1.4.10:1039, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-11, URL: http://114.98.189.106:2000/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-11, URL: http://114.97.197.83:4022/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-11, URL: http://114.98.189.95:2000/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-11, URL: http://220.178.185.174:4000/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 125fps
Name: CCTV-11, URL: http://60.169.119.150:58888/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 118fps
Name: CCTV-11, URL: http://www.lwfz.fun:8800/rtp/239.16.10.109:2000, Date: None, Resolution: 1920x1080, Response Time: 111fps
Name: CCTV-11, URL: http://222.141.134.39:888/rtp/225.1.4.215:1268, Date: None, Resolution: 1920x1080, Response Time: 97fps
Name: CCTV-11, URL: http://125.46.142.181:2000/rtp/225.1.4.215:1268, Date: None, Resolution: 1920x1080, Response Time: 79fps
Name: CCTV-11, URL: http://42.236.161.90:8888/rtp/225.1.4.215:1268, Date: None, Resolution: 1920x1080, Response Time: 75fps
Name: CCTV-11, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.215:1268, Date: None, Resolution: 1920x1080, Response Time: 39fps
Name: CCTV-11, URL: http://183.164.33.215:4022/rtp/238.1.78.206:7502, Date: None, Resolution: 1920x1080, Response Time: 27fps
Name: CCTV-11, URL: http://222.141.134.39:888/rtp/225.1.4.11:1040, Date: None, Resolution: 720x576, Response Time: 228fps
Name: CCTV-11, URL: http://ik6.iptv8.net:8888/rtp/225.1.4.11:1040, Date: None, Resolution: 720x576, Response Time: 206fps
Name: CCTV-11, URL: http://125.46.142.120:2000/rtp/225.1.4.11:1040, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-11, URL: http://115.60.241.249:2000/rtp/225.1.4.11:1040, Date: None, Resolution: 720x576, Response Time: 125fps
Name: CCTV-12, URL: http://www.lwfz.fun:8800/rtp/239.16.10.110:2000, Date: None, Resolution: 1920x1080, Response Time: 114fps
Name: CCTV-12, URL: http://114.98.189.106:2000/rtp/238.1.78.242:7808, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-12, URL: http://114.97.197.83:4022/rtp/238.1.78.242:7808, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-12, URL: http://114.98.189.95:2000/rtp/238.1.78.242:7808, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-12, URL: http://220.178.185.174:4000/rtp/238.1.78.242:7808, Date: None, Resolution: 1920x1080, Response Time: 110fps
Name: CCTV-12, URL: http://222.141.134.39:888/rtp/225.1.4.79:1108, Date: None, Resolution: 1920x1080, Response Time: 106fps
Name: CCTV-12, URL: http://60.169.119.150:58888/rtp/238.1.78.242:7808, Date: None, Resolution: 1920x1080, Response Time: 101fps
Name: CCTV-12, URL: http://125.46.142.181:2000/rtp/225.1.4.79:1108, Date: None, Resolution: 1920x1080, Response Time: 84fps
Name: CCTV-12, URL: http://42.236.161.90:8888/rtp/225.1.4.79:1108, Date: None, Resolution: 1920x1080, Response Time: 78fps
